Indicator,Group,State,Subgroup,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Start_Date,End_Date,period,total_cases,avg_cases
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Dec 9 - Dec 21,28.7,24.2,33.6,24.2 - 33.6,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Dec 9 - Dec 21,23.4,21.3,25.6,21.3 - 25.6,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Dec 9 - Dec 21,24.4,22.1,26.8,22.1 - 26.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Dec 9 - Dec 21,27.2,23.3,31.3,23.3 - 31.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Dec 9 - Dec 21,24.2,19.7,29.2,19.7 - 29.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Dec 9 - Dec 21,29,23.3,35.1,23.3 - 35.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Dec 9 - Dec 21,22.6,19.7,25.7,19.7 - 25.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Dec 9 - Dec 21,24.6,20.8,28.7,20.8 - 28.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Dec 9 - Dec 21,16.7,12.6,21.4,12.6 - 21.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Dec 9 - Dec 21,28,24.3,31.9,24.3 - 31.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Dec 9 - Dec 21,24.2,21,27.7,21.0 - 27.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Dec 9 - Dec 21,26.2,22.8,29.8,22.8 - 29.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Dec 9 - Dec 21,30.3,25.6,35.3,25.6 - 35.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Dec 9 - Dec 21,25.8,22.1,29.9,22.1 - 29.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Dec 9 - Dec 21,30.8,25.8,36.1,25.8 - 36.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Dec 9 - Dec 21,36.3,29.4,43.6,29.4 - 43.6,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Dec 9 - Dec 21,31.6,26.5,37,26.5 - 37.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Dec 9 - Dec 21,24,21.1,27.1,21.1 - 27.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Dec 9 - Dec 21,29.3,24.6,34.5,24.6 - 34.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Dec 9 - Dec 21,27.9,24.1,31.9,24.1 - 31.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Dec 9 - Dec 21,28,24.6,31.5,24.6 - 31.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Dec 9 - Dec 21,26.7,21.8,32,21.8 - 32.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Dec 9 - Dec 21,28.3,24.2,32.8,24.2 - 32.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Dec 9 - Dec 21,30.3,25.9,34.9,25.9 - 34.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Dec 9 - Dec 21,27.1,22.8,31.9,22.8 - 31.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Dec 9 - Dec 21,18.9,15.5,22.8,15.5 - 22.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Dec 9 - Dec 21,33.4,27.6,39.7,27.6 - 39.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Dec 9 - Dec 21,21.5,18.3,25,18.3 - 25.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Dec 9 - Dec 21,24.8,20,30.1,20.0 - 30.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Dec 9 - Dec 21,21.4,18.5,24.4,18.5 - 24.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Dec 9 - Dec 21,25.6,21.6,30,21.6 - 30.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Dec 9 - Dec 21,22.1,17.6,27.3,17.6 - 27.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Dec 9 - Dec 21,24,19.6,28.8,19.6 - 28.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Dec 9 - Dec 21,29.7,25.6,34,25.6 - 34.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Dec 9 - Dec 21,27.6,25.2,30,25.2 - 30.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Dec 9 - Dec 21,25.6,22.3,29.2,22.3 - 29.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Dec 9 - Dec 21,28.8,22.6,35.6,22.6 - 35.6,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Dec 9 - Dec 21,25.7,20.9,31,20.9 - 31.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Dec 9 - Dec 21,20.1,16.8,23.7,16.8 - 23.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Dec 9 - Dec 21,28.5,24.5,32.7,24.5 - 32.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Dec 9 - Dec 21,24,20.8,27.5,20.8 - 27.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Dec 9 - Dec 21,28.5,25.4,31.8,25.4 - 31.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Dec 9 - Dec 21,32.2,26.7,38.1,26.7 - 38.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Dec 9 - Dec 21,22.5,19.7,25.5,19.7 - 25.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Dec 9 - Dec 21,27.6,24.5,30.8,24.5 - 30.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Dec 9 - Dec 21,31.3,25.6,37.4,25.6 - 37.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Dec 9 - Dec 21,26.5,23.3,29.9,23.3 - 29.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Dec 9 - Dec 21,26.7,20.8,33.4,20.8 - 33.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,Dec 9 - Dec 21,12.4,11.9,13,11.9 - 13.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,Dec 9 - Dec 21,22.1,20.2,24,20.2 - 24.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,Dec 9 - Dec 21,17.2,16.1,18.3,16.1 - 18.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,Dec 9 - Dec 21,13.8,12.5,15.2,12.5 - 15.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,Dec 9 - Dec 21,10.4,9.1,11.7,9.1 - 11.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,Dec 9 - Dec 21,6,5.2,6.9,5.2 - 6.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,Dec 9 - Dec 21,4.4,3.4,5.7,3.4 - 5.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,Dec 9 - Dec 21,6.7,3.6,11.3,3.6 - 11.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,Dec 9 - Dec 21,9.5,8.7,10.3,8.7 - 10.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,Dec 9 - Dec 21,15.1,14.3,15.8,14.3 - 15.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Dec 9 - Dec 21,3.4,3,3.8,3.0 - 3.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Dec 9 - Dec 21,24.8,23.6,26,23.6 - 26.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Dec 9 - Dec 21,13.7,11.9,15.8,11.9 - 15.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Dec 9 - Dec 21,12.2,11.5,12.9,11.5 - 12.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Dec 9 - Dec 21,11.9,10.6,13.4,10.6 - 13.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Dec 9 - Dec 21,7.8,6,9.8,6.0 - 9.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Dec 9 - Dec 21,17.6,14.5,21.2,14.5 - 21.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,Dec 9 - Dec 21,13.9,10.4,18.1,10.4 - 18.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,Dec 9 - Dec 21,10.5,9.4,11.7,9.4 - 11.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Dec 9 - Dec 21,14.8,14,15.6,14.0 - 15.6,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Dec 9 - Dec 21,11.7,11.1,12.3,11.1 - 12.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,Dec 9 - Dec 21,13.1,10.2,16.4,10.2 - 16.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,Dec 9 - Dec 21,12.8,10.2,15.7,10.2 - 15.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,Dec 9 - Dec 21,14.1,10.9,17.8,10.9 - 17.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,Dec 9 - Dec 21,10.5,7.8,13.7,7.8 - 13.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,Dec 9 - Dec 21,14.7,12.7,17,12.7 - 17.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,Dec 9 - Dec 21,15.8,13,19,13.0 - 19.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,Dec 9 - Dec 21,13.3,10.1,16.9,10.1 - 16.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,Dec 9 - Dec 21,13.5,9.9,17.7,9.9 - 17.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,Dec 9 - Dec 21,16.3,12.3,21,12.3 - 21.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,Dec 9 - Dec 21,12.8,10.1,16,10.1 - 16.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,Dec 9 - Dec 21,9.7,7.3,12.5,7.3 - 12.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,Dec 9 - Dec 21,6.1,3.9,9,3.9 - 9.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,Dec 9 - Dec 21,14.2,11,17.9,11.0 - 17.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,Dec 9 - Dec 21,10.4,8.6,12.5,8.6 - 12.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,Dec 9 - Dec 21,10.3,8,13,8.0 - 13.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,Dec 9 - Dec 21,12,8.4,16.4,8.4 - 16.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,Dec 9 - Dec 21,12.7,8.9,17.5,8.9 - 17.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,Dec 9 - Dec 21,13,10,16.5,10.0 - 16.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,Dec 9 - Dec 21,11.4,7.8,15.9,7.8 - 15.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,Dec 9 - Dec 21,11.3,8,15.4,8.0 - 15.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,Dec 9 - Dec 21,11.1,8.4,14.3,8.4 - 14.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,Dec 9 - Dec 21,10.9,8.1,14.2,8.1 - 14.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,Dec 9 - Dec 21,13.9,11.3,16.9,11.3 - 16.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,Dec 9 - Dec 21,12.1,9.6,14.9,9.6 - 14.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,Dec 9 - Dec 21,11.7,8.7,15.3,8.7 - 15.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,Dec 9 - Dec 21,11.3,8.9,14,8.9 - 14.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,Dec 9 - Dec 21,12.7,9.3,16.8,9.3 - 16.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,Dec 9 - Dec 21,10.6,7.3,14.6,7.3 - 14.6,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,Dec 9 - Dec 21,14.5,11.4,18,11.4 - 18.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,Dec 9 - Dec 21,8,5.6,11.1,5.6 - 11.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,Dec 9 - Dec 21,8.4,6,11.3,6.0 - 11.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,Dec 9 - Dec 21,13.6,9.9,18,9.9 - 18.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,Dec 9 - Dec 21,9.1,6.9,11.8,6.9 - 11.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,Dec 9 - Dec 21,13.3,9.8,17.3,9.8 - 17.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,Dec 9 - Dec 21,9.3,5.9,13.7,5.9 - 13.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,Dec 9 - Dec 21,15.1,11.8,18.8,11.8 - 18.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,Dec 9 - Dec 21,13.3,9.6,17.7,9.6 - 17.7,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,Dec 9 - Dec 21,16.5,14.2,19.1,14.2 - 19.1,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Dec 9 - Dec 21,9.3,7.5,11.4,7.5 - 11.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,Dec 9 - Dec 21,6.4,4.1,9.4,4.1 - 9.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,Dec 9 - Dec 21,11.8,9,15.2,9.0 - 15.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,Dec 9 - Dec 21,8.3,5.5,11.9,5.5 - 11.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,Dec 9 - Dec 21,13.3,10.9,16,10.9 - 16.0,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,Dec 9 - Dec 21,13.9,11.3,16.8,11.3 - 16.8,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,Dec 9 - Dec 21,15.4,13.2,17.9,13.2 - 17.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,Dec 9 - Dec 21,9,5.6,13.5,5.6 - 13.5,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,Dec 9 - Dec 21,13.1,10.7,15.9,10.7 - 15.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,Dec 9 - Dec 21,13,10.4,15.9,10.4 - 15.9,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,Dec 9 - Dec 21,14.7,10.8,19.3,10.8 - 19.3,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,Dec 9 - Dec 21,9.1,6.6,12.2,6.6 - 12.2,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,Dec 9 - Dec 21,8.6,5.7,12.4,5.7 - 12.4,2020-12-09,2020-12-21,21,2611706,217642.16666666666
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,Dec 22 - Jan 5,NA,NA,NA,NA,2020-12-22,2021-01-05,1,2869059,204932.7857142857
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,Dec 22 - Jan 5,NA,NA,NA,NA,2020-12-22,2021-01-05,1,2869059,204932.7857142857
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,Dec 22 - Jan 5,NA,NA,NA,NA,2020-12-22,2021-01-05,1,2869059,204932.7857142857
